year,bedrooms,amr_nominal,cpi_geography,cpi,amr_real_2002
1990,bachelor,454,Canada,78.4,579.0816326530612
1990,bachelor,454,"Toronto, Ontario",78.9,575.4119138149556
1990,1br,559,Canada,78.4,713.0102040816327
1990,1br,559,"Toronto, Ontario",78.9,708.4917617237008
1990,2br,689,Canada,78.4,878.8265306122449
1990,2br,689,"Toronto, Ontario",78.9,873.257287705957
1990,3br,842,Canada,78.4,1073.9795918367345
1990,3br,842,"Toronto, Ontario",78.9,1067.1736375158428
1990,total,634,Canada,78.4,808.6734693877551
1990,total,634,"Toronto, Ontario",78.9,803.5487959442331
1991,bachelor,482,Canada,82.8,582.1256038647343
1991,bachelor,482,"Toronto, Ontario",82.2,586.374695863747
1991,1br,592,Canada,82.8,714.975845410628
1991,1br,592,"Toronto, Ontario",82.2,720.1946472019465
1991,2br,730,Canada,82.8,881.6425120772948
1991,2br,730,"Toronto, Ontario",82.2,888.0778588807786
1991,3br,888,Canada,82.8,1072.463768115942
1991,3br,888,"Toronto, Ontario",82.2,1080.2919708029196
1991,total,672,Canada,82.8,811.5942028985507
1991,total,672,"Toronto, Ontario",82.2,817.5182481751824
1992,bachelor,493,Canada,84,586.9047619047618
1992,bachelor,493,"Toronto, Ontario",83,593.9759036144578
1992,1br,610,Canada,84,726.1904761904761
1992,1br,610,"Toronto, Ontario",83,734.9397590361446
1992,2br,755,Canada,84,898.8095238095237
1992,2br,755,"Toronto, Ontario",83,909.6385542168674
1992,3br,905,Canada,84,1077.3809523809523
1992,3br,905,"Toronto, Ontario",83,1090.3614457831327
1992,total,691,Canada,84,822.6190476190476
1992,total,691,"Toronto, Ontario",83,832.5301204819277
1993,bachelor,510,Canada,85.6,595.7943925233645
1993,bachelor,510,"Toronto, Ontario",84.3,604.982206405694
1993,1br,627,Canada,85.6,732.4766355140188
1993,1br,627,"Toronto, Ontario",84.3,743.7722419928826
1993,2br,773,Canada,85.6,903.0373831775702
1993,2br,773,"Toronto, Ontario",84.3,916.9632265717676
1993,3br,930,Canada,85.6,1086.4485981308412
1993,3br,930,"Toronto, Ontario",84.3,1103.202846975089
1993,total,710,Canada,85.6,829.4392523364486
1993,total,710,"Toronto, Ontario",84.3,842.2301304863582
1994,bachelor,516,Canada,85.7,602.100350058343
1994,bachelor,516,"Toronto, Ontario",84.4,611.3744075829384
1994,1br,641,Canada,85.7,747.9579929988331
1994,1br,641,"Toronto, Ontario",84.4,759.4786729857819
1994,2br,785,Canada,85.7,915.9859976662776
1994,2br,785,"Toronto, Ontario",84.4,930.0947867298577
1994,3br,946,Canada,85.7,1103.850641773629
1994,3br,946,"Toronto, Ontario",84.4,1120.8530805687203
1994,total,722,Canada,85.7,842.4737456242706
1994,total,722,"Toronto, Ontario",84.4,855.4502369668246
1995,bachelor,531,Canada,87.6,606.1643835616438
